competency_id,competency_code,competency_name,competency_type,avg_growth_Berlin,avg_growth_Brandenburg,avg_growth_Dahme-Spreewald,avg_growth_Deutschland,avg_growth_Oder-Spree,avg_growth_Teltow-Fläming,demand_score_Berlin,demand_score_Brandenburg,demand_score_Dahme-Spreewald,demand_score_Deutschland,demand_score_Oder-Spree,demand_score_Teltow-Fläming,total_jobs_Berlin,total_jobs_Brandenburg,total_jobs_Dahme-Spreewald,total_jobs_Deutschland,total_jobs_Oder-Spree,total_jobs_Teltow-Fläming,demand_score_TH_Wildau
62484,K 030303-082,Steuerrecht,E,-0.1274431470042719,0.3104079199228776,0.2816114019414452,0.03266284521705453,0.14631440004310461,0.965297530296873,16.5,14.8,14.4,15.9,13.4,13.5,176675.0,61770.0,4192.0,2799110.0,2850.0,5687.0,13.8
65430,K 100104-007,Fachpublikationen erstellen,E,-0.06633520997651196,0.26892322080186015,-0.04820930009939761,0.052600651927671625,-0.1715460588853873,3.2599230078997854,8.4,15.3,12.5,9.8,12.4,15.5,90385.0,64125.0,3624.0,1730980.0,2635.0,6563.0,13.5
62642,K 0400-004,"Beladen, Entladen",E,-0.009823378871443732,0.38169508519546863,0.21498811612719615,0.1443013812827504,0.25585917695055715,0.5560713081723998,4.2,10.4,13.1,7.9,10.6,16.8,44765.0,43415.0,3797.0,1382570.0,2255.0,7082.0,13.5
135433,K 0400-073,Etikettieren,E,-0.04293936773926168,0.11802969824754331,-0.10070770574623855,0.05965962704568047,0.7853299260130017,0.5253223446881209,3.5,11.4,13.9,9.1,11.2,14.7,38012.0,47645.0,4056.0,1597328.0,2368.0,6201.0,13.3
59952,K 1402,Schweißerprüfungen,S,0.08681597633656923,0.29114798144370846,0.11941840395595907,0.023753117865558806,0.1955030686914197,0.8189407069871457,4.2,11.4,11.3,8.6,12.8,15.5,45289.0,47616.0,3285.0,1511360.0,2704.0,6553.0,13.2
142326,K 0208-008,Neueinbau,E,-0.06047670736428972,0.21163043122831315,0.03476071119495771,0.08771680758785251,0.30402019519256385,0.6752542901414846,5.1,11.9,10.9,9.0,13.3,14.6,54672.0,49677.0,3169.0,1582630.0,2817.0,6148.0,12.9
64123,K 0805-034,Statistik,E,-0.1327899983060186,0.21777718583292136,0.15960206051802647,-0.00854444041586704,0.07521898574107745,1.0270420516422423,16.6,13.3,13.6,14.3,12.2,13.0,178343.0,55561.0,3945.0,2516741.0,2585.0,5474.0,12.9
62257,K 030203-000,Akquisition,E,-0.10973939839097646,0.39142444514165114,0.17037549788832665,0.058149729338428144,0.19055762492114126,1.1263969742333524,15.0,13.5,14.3,14.2,12.2,12.3,161167.0,56638.0,4147.0,2504254.0,2592.0,5206.0,12.9
62694,K 0400-057,Verpacken,E,0.013634497760841186,0.039885563532185336,-0.056180432040931774,0.08688397050165171,0.20754556412038663,0.39895926978054297,3.5,10.2,12.5,8.5,10.1,15.0,37952.0,42896.0,3620.0,1500871.0,2133.0,6326.0,12.5
60646,K 010200-002,"Arbeitsschutz, Unfallverhütung",E,-0.015183430817511853,0.29183006732060557,0.2372030996492534,0.20167356380028917,0.06072430154821713,0.4370371323452307,6.4,11.6,11.8,9.5,12.9,12.6,68996.0,48728.0,3440.0,1677485.0,2738.0,5320.0,12.4
