kldb_id,beruf_name,kldb_prefix2
94614,Bühnenbildner/in mit technischen Mitarbeitern,94
41422,Werkstoffprüfer/in - Kunststofftechnik,41
11101,Helfer/in - Landwirtschaft,11
51512,Fahrbetriebsregler/in (Straßenverkehr),51
81414,Facharzt/-ärztin - Kinder- und Jugendmedizin,81
24423,Schweißtechniker/in,24
41314,Ingenieur/in - Technologie der Kosmetika und Waschmittel,41
73282,Beamt(er/in) - Bergverwaltung (mittl. Dienst),73
61284,Betriebswirt/in (Hochschule) - Automobilwirtschaft,61
94382,Weihnachtsmann/-frau,94
21311,Helfer/in - Glasherstellung und -verarbeitung,21
82214,Leiter/in - Medizincontrolling,82
26334,Ingenieur/in - Elektromobilität,26
41104,Mathematiker/in,41
21201,"Helfer/in - Naturstein- und Mineralaufber., Baustoffherst.",21
53184,Ingenieur/in - Rettungswesen,53
31193,Montageleiter/in (Bau),31
26382,DGUV-Prüfer/in,26
51593,Verkehrsleiter/in - Kraftverkehrsunternehmen,51
94404,Podcast-Produzent/in,94
51212,Tunnelwärter/in,51
73324,Buchwissenschaftler/in,73
61162,Vermietassistent/in (Kfz),61
93102,Assistent/in - Produktdesign,93
22393,Fertigungsplaner/in - Tischlerhandwerk,22
42324,Abfallbeauftragte/r,42
34233,Techniker/in - Kältetechnik,34
82393,Kosmetikermeister/in,82
51594,Chefpilot/in,51
93212,Assistent/in - Innenarchitektur,93
71412,Kfm. Ass./Wirtschaftsassistent/in - Fremdsprachen,71
84513,Fahrlehrer/in,84
81234,Facharzt/-ärztin - Strahlentherapie,81
23193,Industriemeister/in - Papier- und Kunststoffverarbeitung,23
53182,Verkehrsüberwacher/in / Hilfspolizist/in,53
63132,Berg- und Skiführer/in,63
63122,Sportfachmann/-frau,63
72184,Beamt(er/in) - Bundesbank (höh. Dienst),72
32232,Tiefbaufacharbeiter/in - Gleisbauarbeiten,32
31212,Vermessungstechniker/in - Bergvermessung,31
43494,Leiter/in - Anwendungsentwicklung (EDV),43
81103,Praxisassistent/in (nicht ärztlich),81
83194,Erwachsenenheimleiter/in,83
11712,Beamt(er/in) - Forstdienst (mittl. techn. Dienst),11
26262,"Kabelmonteur/in (Fern-, Frei- und Fahrleitungsbau)",26
82504,Ingenieur/in - Medizintechnik,82
94214,Synchronsprecher/in,94
92193,Teamleiter/in - Callcenter,92
24142,Gießereimechaniker/in - Handformguss,24
51493,Zugchef/in,51
26314,Ingenieur/in - Medientechnik/Multimedia,26
33222,Gipsbildhauer/in (Stuckateur/in),33
29293,Industriemeister/in - Süßwaren,29
82233,Ernährungs- und Fitnessberater/in (Gesundheit/Sport),82
92414,Auslandskorrespondent/in,92
43134,Medizininformatiker/in,43
51122,Fachkraft Bodenverkehrsdienst im Luftverkehr,51
82243,Pflegesachverständige/r,82
73294,Verwaltungsleiter/in (Krankenhaus),73
93232,"Raumausstatter/in - Raumd., Licht-, Sicht- und Sonnenschutz.",93
33312,Isolierer/in,33
31153,Fachkraft - Bauwerkserhaltung,31
34302,Vorarbeiter/in - Ver- und Entsorgung,34
93104,"Industrie-, Produktdesigner/in",93
33323,Zimmerer/Zimmerin - Restaurierungsarbeiten,33
84543,Fußballtrainer/in,84
61394,Leiter/in - Immobilienmanagement,61
53193,Meister/in - Bäderbetriebe,53
84484,Verkaufstrainer/in,84
41432,Baustoffprüfer/in - Asphalttechnik,41
61133,Makler/in (Handel),61
27294,Leiter/in - Konstruktion,27
94532,Cutter-Assistent/in,94
34104,Ingenieur/in - Gebäudetechnik/Facility-Management,34
54132,Textilreiniger/in,54
28132,Seiler/in - Seilherstellung,28
81762,Diätassistent/in,81
93214,Innenarchitekt/in,93
51533,Sachbearbeiter/in - Luftaufsicht,51
28101,Helfer/in - Textilherstellung,28
41412,Physiklaborant/in,41
33352,Jalousie- und Rollladenmacher/in,33
43154,Medieninformatiker/in,43
91343,Fachwirt/in - Marktforschung,91
83383,CVJM-Sekretär/in,83
94593,Meister/in - Medienproduktion Bild und Ton,94
63294,Betriebswirt/in (Hochschule) - Hotelmanagement,63
94413,Zweite/r Regieassistent/in,94
11212,Melker/in,11
83132,Integrations-/Inklusionsfachkraft,83
73322,Assistent/in - Bibliotheken,73
73253,Amtsanwalt/-anwältin,73
33293,Ausbaumanager/in,33
31134,Verkehrsbauingenieur/in,31
94513,Lichtplaner/in,94
81614,Pädagogische/r Psychologe/Psychologin,81
23323,Fotodesigner/in,23
41304,Chemiker/in,41
22201,Helfer/in - Farb- und Lacktechnik,22
53133,Werkfeuerwehrtechniker/in,53
73242,Beamt(er/in) - Zolldienst (mittl. Dienst),73
53152,Versicherungsdetektiv/in,53
71382,"Werkgehilfe/-gehilfin-Schmuckwarenind.,Taschen-,Armbanduhren",71
28232,Zeltmacher/in,28
53132,Werkfeuerwehrmann/-frau,53
61142,Automatenfachmann/-frau - Automatendienstleistung,61
11501,Helfer/in - Tierpflege,11
41404,Physiker/in,41
41114,Statistiker/in,41
93223,Ausstellungsdesigner/in,93
21232,Naturwerksteinmechaniker/in - Steinmetztechnik,21
73194,Leiter/in - Rechtsabteilung,73
82523,Optometrist/in,82
92204,Public-Affairs-Manager/in,92
32103,Techniker/in - Bautechnik (Hochbau),32
26234,Ingenieur/in - Energietechnik,26
22302,Vorarbeiter/in - Holzbe- und -verarbeitung,22
33132,Parkettleger/in,33
25131,Zählerableser/in,25
24243,Lasertechnische/r Assistent/in,24
71424,Gebärdensprachdolmetscher/in,71
23422,Medientechnologe/-technologin Druckverarbeitung,23
31102,Techn. Assistent/in - Bautechnik,31
73214,Aufsichtsperson (Unfallversicherung),73
12193,Gärtnermeister/in - Friedhofsgärtnerei,12
34393,Deponieleiter/in,34
92434,Trauerredner/in,92
94342,Croupier/Croupière,94
25234,Ingenieur/in - Luft- und Raumfahrttechnik,25
41214,Ingenieur/in - Biotechnologie,41
84412,Singschullehrer/in,84
84124,Lehrer/in - Schularten der Sekundarstufe I,84
34332,Fachkraft - Kreislauf- u. Abfallw.(Abfallbes. und -behandl.),34
73252,Justizfachangestellte/r,73
53323,Hygienebeauftragte/r,53
63114,Betriebswirt/in (Hochschule) - Touristik,63
32203,Techniker/in - Bautechnik (Tiefbau),32
63313,Fachwirt/in - Gastgewerbe,63
82182,Ambulante/r Pfleger/in,82
83314,Pastor/in - Freikirchen,83
73213,Beamt(er/in) - Versorgungsverwaltung (geh. Dienst),73
33213,Restaurator/in - Maler- u. Lackiererhw./M. Prof. Restaur.,33
25242,Bootsbauer/in - Technik,25
93542,"Schilder- und Lichtreklamehersteller/in-Grafik,Druck,Applik.",93
83143,Haus- und Familienpfleger/in,83
